Date,Liquidity Cost
17/07/2015,1.14
24/07/2015,1.14
31/07/2015,1.29
07/08/2015,1.21
14/08/2015,1.18
21/08/2015,1.16
28/08/2015,1.24
04/09/2015,1.1
11/09/2015,1.41
18/09/2015,1.09
25/09/2015,1.34
02/10/2015,1.22
09/10/2015,1.11
16/10/2015,1.2
23/10/2015,1.21
30/10/2015,1.47
06/11/2015,1.07
13/11/2015,1.46
20/11/2015,1.39
27/11/2015,1.34
04/12/2015,1.11
11/12/2015,1.31
18/12/2015,1.45
25/12/2015,1.28
01/01/2016,1.5
08/01/2016,1.05
15/01/2016,1.09
22/01/2016,1.27
29/01/2016,1.26
05/02/2016,1
12/02/2016,1.18
19/02/2016,1.47
26/02/2016,1.23
04/03/2016,1.06
11/03/2016,1.32
18/03/2016,1.39
25/03/2016,1.2
01/04/2016,1.16
08/04/2016,1.39
15/04/2016,1.18
22/04/2016,1.46
29/04/2016,1.2
06/05/2016,1.05
13/05/2016,1.49
20/05/2016,1.13
27/05/2016,1.32
03/06/2016,1.04
10/06/2016,1.13
17/06/2016,1.1
24/06/2016,1
01/07/2016,1.29
08/07/2016,1.27
15/07/2016,1.16
22/07/2016,1.38
29/07/2016,1.08
05/08/2016,1.02
12/08/2016,1.17
19/08/2016,1.3
26/08/2016,1.28
02/09/2016,1.08
09/09/2016,1.48
16/09/2016,1.07
23/09/2016,1.36
30/09/2016,1
07/10/2016,1.25
14/10/2016,1.2
21/10/2016,1.31
28/10/2016,1.02
04/11/2016,1.21
11/11/2016,1.44
18/11/2016,1.22
25/11/2016,1.48
02/12/2016,1.32
09/12/2016,1.25
16/12/2016,1.06
23/12/2016,1.04
30/12/2016,1.31
06/01/2017,1.08
13/01/2017,1.4
20/01/2017,1.46
27/01/2017,1
03/02/2017,1.39
10/02/2017,1.43
17/02/2017,1.26
24/02/2017,1.17
03/03/2017,1.28
10/03/2017,1.24
17/03/2017,1.15
24/03/2017,1.14
31/03/2017,1.02
07/04/2017,1.31
14/04/2017,1.38
21/04/2017,1.16
28/04/2017,1.12
05/05/2017,1.26
12/05/2017,1.05
19/05/2017,1.38
26/05/2017,1.03
02/06/2017,1.49
09/06/2017,1.04
16/06/2017,1.08
23/06/2017,1.44
30/06/2017,1.25
07/07/2017,1.23
14/07/2017,1.44
21/07/2017,1.41
28/07/2017,1.46
04/08/2017,1.14
11/08/2017,1.32
18/08/2017,1.43
25/08/2017,1.45
01/09/2017,1.47
08/09/2017,1.38
15/09/2017,1.05
22/09/2017,1.08
29/09/2017,1.19
06/10/2017,1.16
13/10/2017,1.17
20/10/2017,1.42
27/10/2017,1.35
03/11/2017,1.37
10/11/2017,1.01
17/11/2017,1.4
24/11/2017,1.01
01/12/2017,1.41
08/12/2017,1.03
15/12/2017,1.37
22/12/2017,1.32
29/12/2017,1.1
05/01/2018,1.13
12/01/2018,1.35
19/01/2018,1.11
26/01/2018,1.32
02/02/2018,1.16
09/02/2018,1.25
16/02/2018,1.17
23/02/2018,1.41
02/03/2018,1.31
09/03/2018,1.1
16/03/2018,1.05
23/03/2018,1.27
30/03/2018,1.45
06/04/2018,1.14
13/04/2018,1.32
20/04/2018,1.29
27/04/2018,1.42
04/05/2018,1.5
11/05/2018,1.04
18/05/2018,1.15
25/05/2018,1.38
01/06/2018,1.14
08/06/2018,1.46
15/06/2018,1.22
22/06/2018,1.3
29/06/2018,1.42
06/07/2018,1.25
13/07/2018,1.38
20/07/2018,1.27
27/07/2018,1.42
03/08/2018,1.33
10/08/2018,1.45
17/08/2018,1.2
24/08/2018,1.48
31/08/2018,1.26
07/09/2018,1.01
14/09/2018,1.4
21/09/2018,1.01
28/09/2018,1.41
05/10/2018,1.03
12/10/2018,1.37
19/10/2018,1.32
26/10/2018,1.26
02/11/2018,1.17
09/11/2018,1.28
16/11/2018,1.24
23/11/2018,1.15
30/11/2018,1.14
07/12/2018,1.02
14/12/2018,1.31
21/12/2018,1.28
28/12/2018,1.08
04/01/2019,1.48
11/01/2019,1.07
18/01/2019,1.36
25/01/2019,1
01/02/2019,1.25
08/02/2019,1.2
15/02/2019,1.31
22/02/2019,1.02
01/03/2019,1.21
08/03/2019,1.44
15/03/2019,1.22
22/03/2019,1.28
29/03/2019,1.24
05/04/2019,1.15
12/04/2019,1.14
19/04/2019,1.02
26/04/2019,1.31
03/05/2019,1.28
10/05/2019,1.08
17/05/2019,1.48
24/05/2019,1.26
31/05/2019,1.05
07/06/2019,1.38
14/06/2019,1.03
21/06/2019,1.49
28/06/2019,1.04
05/07/2019,1.08
12/07/2019,1.44
19/07/2019,1.1
26/07/2019,1.41
02/08/2019,1.09
09/08/2019,1.34
16/08/2019,1.22
23/08/2019,1.11
30/08/2019,1.2
06/09/2019,1.21
13/09/2019,1.47
20/09/2019,1.07
27/09/2019,1.46
04/10/2019,1.39
11/10/2019,1.49
18/10/2019,1.04
25/10/2019,1.08
01/11/2019,1.44
08/11/2019,1.1
15/11/2019,1.41
22/11/2019,1.09
29/11/2019,1.34
06/12/2019,1.22
13/12/2019,1.3
20/12/2019,1.42
27/12/2019,1.25
